nom_kp,firstname,lastname,date_of_birth,email,id,alamat_rumah,poskod,bandar,daerah,nama_sekolah,poskod_sekolah,bandar_sekolah,alamat_sekolah,email_sekolah
820415-44-3030,Tommy,Murphy,15-04-82,tmurphy@gmail.com,0,"No. 123, Lorong Kemuning 14, Taman Kemuning",09080,Padang Serai,Kulim,SMK Air Merah,09000,Kulim,"Jalan Air Merah, 09000 Kulim, Kedah",information@smk_air_merah.edu.my
900524-88-3034,Alexandra,Lopez,24-05-90,alopez@gmail.com,1,"No. 146, Lorong Kulim Permai 19, Taman Kulim Permai",09000,Kulim,Kulim,SMK Sungai Kob,09700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my
920508-44-4047,Paul,Smith,08-05-92,psmith@gmail.com,2,"No. 74, Lorong Kulim Heights 16, Taman Kulim Heights",09080,Padang Serai,Kulim,SMK Sungai Karangan,09410,Padang Serai,"Kampung Sungai Karangan, 09050 Sungai Karangan, Kedah",information@smk_sungai_karangan.edu.my
830409-77-3038,Timothy,Holloway,09-04-83,tholloway@gmail.com,3,"No. 21, Lorong Kulim Sentosa 15, Taman Kulim Sentosa",09050,Sungai Kob,Kulim,SMK Padang Serai,09400,Padang Serai,"Jalan Padang Serai, 09080 Padang Serai, Kedah",information@smk_padang_serai.edu.my
960629-66-4051,Edward,Cox,29-06-96,ecox@gmail.com,4,"No. 106, Lorong Kulim Ceria 3, Taman Kulim Ceria",09000,Kulim,Kulim,SMK Air Merah,09000,Kulim,"Jalan Air Merah, 09000 Kulim, Kedah",information@smk_air_merah.edu.my
890709-66-3044,Benjamin,Mason,09-07-89,bmason@gmail.com,5,"No. 141, Lorong Desa Aman 9, Taman Desa Aman",09080,Padang Serai,Kulim,SMK Taman Jelutong,09000,Kulim,"Taman Jelutong, 09000 Kulim, Kedah",information@smk_taman_jelutong.edu.my
920528-66-4063,Ethan,Mitchell,28-05-92,emitchell@gmail.com,6,"No. 5, Lorong Murni 8, Taman Murni",09000,Kulim,Kulim,SMK Air Merah,09000,Kulim,"Jalan Air Merah, 09000 Kulim, Kedah",information@smk_air_merah.edu.my
940129-88-4067,Theodore,James,29-01-94,tjames@gmail.com,7,"No. 97, Lorong Dahlia 10, Taman Dahlia",09050,Sungai Kob,Kulim,SMK Labu Besar,09010,Kulim,"Kampung Labu Besar, 09000 Kulim, Kedah",information@smk_labu_besar.edu.my
990414-99-4069,Tracy,Brown,14-04-99,tbrown@gmail.com,8,"No. 82, Lorong Seroja 12, Taman Seroja",09090,Kulim HiTech,Kulim,SMK Keladi,09000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my
830921-66-3064,Carl,Norris,21-09-83,cnorris@gmail.com,9,"No. 30, Lorong Selasih 1, Taman Selasih",09080,Padang Serai,Kulim,SMK Taman Selasih,09000,Kulim,"Taman Selasih, 09000 Kulim, Kedah",information@smk_taman_selasih.edu.my
870625-88-4073,Cynthia,Hall,25-06-87,chall@gmail.com,10,"No. 81, Lorong Bakawali 9, Taman Bakawali",09050,Sungai Kob,Kulim,SMK Air Merah,09000,Kulim,"Jalan Air Merah, 09000 Kulim, Kedah",information@smk_air_merah.edu.my
940828-66-3070,Rachel,Richardson,28-08-94,rrichardson@gmail.com,11,"No. 113, Lorong Kulim Jaya 6, Taman Kulim Jaya",09000,Kulim,Kulim,SMK Lunas,09600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my
961106-88-3076,Michael,Brown,06-11-96,mbrown@gmail.com,12,"No. 15, Lorong Selasih 4, Taman Selasih",09050,Sungai Kob,Kulim,SMK Taman Hitech,09000,Kulim,"Persiaran Kulim Hi-Tech 3, 09090 Kulim, Kedah",information@smk_taman_hitech.edu.my
960209-33-4083,Michael,Acevedo,09-02-96,macevedo@gmail.com,13,"No. 76, Lorong Selasih 6, Taman Selasih",09090,Kulim HiTech,Kulim,SMK St. Anne's Convent,09000,Kulim,"Jalan Tunku Asaad, 09000 Kulim, Kedah",information@smk_st_annes_convent.edu.my
830518-77-3078,Kelly,Castillo,18-05-83,kcastillo@gmail.com,14,"No. 147, Lorong Kulim Mesra 12, Taman Kulim Mesra",09010,Lunas,Kulim,SMK Lunas,09600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my
930430-33-3080,Jeanne,Green,30-04-93,jgreen@gmail.com,15,"No. 65, Lorong Kulim Sejahtera 16, Taman Kulim Sejahtera",09000,Kulim,Kulim,SMK Jalan Paya Besar,09600,Lunas,"Jalan Paya Besar, 09000 Kulim, Kedah",information@smk_jalan_paya_besar.edu.my
870630-77-4085,Carl,Carter,30-06-87,ccarter@gmail.com,16,"No. 21, Lorong Kulim Bestari 4, Taman Kulim Bestari",09000,Kulim,Kulim,SMK Taman Selasih,09000,Kulim,"Taman Selasih, 09000 Kulim, Kedah",information@smk_taman_selasih.edu.my
890221-88-4091,Jackie,Taylor,21-02-89,jtaylor@gmail.com,17,"No. 125, Lorong Kulim Mesra 13, Taman Kulim Mesra",09010,Lunas,Kulim,SMK Taman Kenari,09000,Kulim,"Taman Kenari, 09000 Kulim, Kedah",information@smk_taman_kenari.edu.my
981014-44-3086,Alyssa,Jenkins,14-10-98,ajenkins@gmail.com,18,"No. 49, Lorong Kulim Bahagia 14, Taman Kulim Bahagia",09010,Lunas,Kulim,SMK Taman Hitech,09000,Kulim,"Persiaran Kulim Hi-Tech 3, 09090 Kulim, Kedah",information@smk_taman_hitech.edu.my
940103-99-4093,Timothy,Edwards,03-01-94,tedwards@gmail.com,19,"No. 106, Lorong Rambai 3, Taman Rambai",09080,Padang Serai,Kulim,SMK Junjung,09000,Kulim,"Kampung Junjung, 09000 Kulim, Kedah",information@smk_junjung.edu.my
840220-44-3092,Dawn,Collier,20-02-84,dcollier@gmail.com,20,"No. 120, Lorong Kulim Sejahtera 6, Taman Kulim Sejahtera",09050,Sungai Kob,Kulim,SMK Lunas,09600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my
841226-88-4095,Alicia,Escobar,26-12-84,aescobar@gmail.com,21,"No. 111, Lorong Kulim Maju 4, Taman Kulim Maju",09090,Kulim HiTech,Kulim,SMK Taman Jelutong,09000,Kulim,"Taman Jelutong, 09000 Kulim, Kedah",information@smk_taman_jelutong.edu.my
950430-99-3106,Alexandra,Bullock,30-04-95,abullock@gmail.com,22,"No. 60, Lorong Kulim Heights 20, Taman Kulim Heights",09050,Sungai Kob,Kulim,SMK Taman Jelutong,09000,Kulim,"Taman Jelutong, 09000 Kulim, Kedah",information@smk_taman_jelutong.edu.my
930329-99-3108,Guy,Gonzales,29-03-93,ggonzales@gmail.com,23,"No. 38, Lorong Bersatu 6, Taman Bersatu",09010,Lunas,Kulim,SMK Padang Serai,09400,Padang Serai,"Jalan Padang Serai, 09080 Padang Serai, Kedah",information@smk_padang_serai.edu.my
880628-88-3114,Megan,Harris,28-06-88,mharris@gmail.com,24,"No. 7, Lorong Cengal 7, Taman Cengal",09010,Lunas,Kulim,SMK Taman Hitech,09000,Kulim,"Persiaran Kulim Hi-Tech 3, 09090 Kulim, Kedah",information@smk_taman_hitech.edu.my
991022-99-3116,Amber,Barrett,22-10-99,abarrett@gmail.com,25,"No. 46, Lorong Mawar 20, Taman Mawar",09000,Kulim,Kulim,SMK Taman Kenari,09000,Kulim,"Taman Kenari, 09000 Kulim, Kedah",information@smk_taman_kenari.edu.my
930324-33-3118,Beth,Johnson,24-03-93,bjohnson@gmail.com,26,"No. 20, Lorong Kulim Utama 15, Taman Kulim Utama",09000,Kulim,Kulim,SMK Air Merah,09000,Kulim,"Jalan Air Merah, 09000 Kulim, Kedah",information@smk_air_merah.edu.my
940111-77-4101,Kari,Rosario,11-01-94,krosario@gmail.com,27,"No. 136, Lorong Murni 11, Taman Murni",09050,Sungai Kob,Kulim,SMK Taman Selasih,09000,Kulim,"Taman Selasih, 09000 Kulim, Kedah",information@smk_taman_selasih.edu.my
890418-88-4107,Aaron,Howard,18-04-89,ahoward@gmail.com,28,"No. 74, Lorong Cengal 17, Taman Cengal",09050,Sungai Kob,Kulim,SMK Lunas,09600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my
920311-66-3122,Morgan,Peterson,11-03-92,mpeterson@gmail.com,29,"No. 43, Lorong Bersatu 20, Taman Bersatu",09080,Padang Serai,Kulim,SMK Taman Selasih,09000,Kulim,"Taman Selasih, 09000 Kulim, Kedah",information@smk_taman_selasih.edu.my
980607-88-3130,Erin,Thomas,07-06-98,ethomas@gmail.com,30,"No. 150, Lorong Teratai 18, Taman Teratai",09000,Kulim,Kulim,SMK Taman Kenari,09000,Kulim,"Taman Kenari, 09000 Kulim, Kedah",information@smk_taman_kenari.edu.my
870721-99-3132,Karen,Perez,21-07-87,kperez@gmail.com,31,"No. 89, Lorong Kulim Heights 7, Taman Kulim Heights",09090,Kulim HiTech,Kulim,SMK Sultan Badlishah,09000,Kulim,"Jalan Pondok Labu, 09000 Kulim, Kedah",information@smk_sultan_badlishah.edu.my
900317-66-4113,Stephen,Powell,17-03-90,spowell@gmail.com,32,"No. 26, Lorong Kucai 5, Taman Kucai",09010,Lunas,Kulim,SMK Jalan Paya Besar,09600,Lunas,"Jalan Paya Besar, 09000 Kulim, Kedah",information@smk_jalan_paya_besar.edu.my
960816-44-4115,Anne,Butler,16-08-96,abutler@gmail.com,33,"No. 66, Lorong Jati 9, Taman Jati",09000,Kulim,Kulim,SMK Sungai Karangan,09410,Padang Serai,"Kampung Sungai Karangan, 09050 Sungai Karangan, Kedah",information@smk_sungai_karangan.edu.my
830106-66-4117,Steven,Stewart,06-01-83,sstewart@gmail.com,34,"No. 129, Lorong Kulim Bestari 5, Taman Kulim Bestari",09090,Kulim HiTech,Kulim,SMK Lunas,09600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my
850222-33-4121,Jason,Evans,22-02-85,jevans@gmail.com,35,"No. 60, Lorong Seri Mahkota 13, Taman Seri Mahkota",09000,Kulim,Kulim,SMK Taman Mutiara,09700,Karangan,"Taman Mutiara, 09000 Kulim, Kedah",information@smk_taman_mutiara.edu.my
941209-77-4123,Robert,Bennett,09-12-94,rbennett@gmail.com,36,"No. 28, Lorong Mahsuri 17, Taman Mahsuri",09090,Kulim HiTech,Kulim,SMK Taman Mutiara,09700,Karangan,"Taman Mutiara, 09000 Kulim, Kedah",information@smk_taman_mutiara.edu.my
880702-77-4129,Alexis,Phillips,02-07-88,aphillips@gmail.com,37,"No. 27, Lorong Kulim Bahagia 9, Taman Kulim Bahagia",09080,Padang Serai,Kulim,SMK Taman Kenari,09000,Kulim,"Taman Kenari, 09000 Kulim, Kedah",information@smk_taman_kenari.edu.my
840126-66-3144,Jennifer,Clark,26-01-84,jclark@gmail.com,38,"No. 101, Lorong Putra 20, Taman Putra",09050,Sungai Kob,Kulim,SMK Lunas,09600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my
980407-77-4131,Ashley,Walker,07-04-98,awalker@gmail.com,39,"No. 148, Lorong Seri Mahkota 17, Taman Seri Mahkota",09080,Padang Serai,Kulim,SMK Padang Serai,09400,Padang Serai,"Jalan Padang Serai, 09080 Padang Serai, Kedah",information@smk_padang_serai.edu.my
840108-33-3146,Mark,Williams,08-01-84,mwilliams@gmail.com,40,"No. 105, Lorong Desa Aman 2, Taman Desa Aman",09090,Kulim HiTech,Kulim,SMK Taman Mutiara,09700,Karangan,"Taman Mutiara, 09000 Kulim, Kedah",information@smk_taman_mutiara.edu.my
840829-99-3148,Adrian,Tanner,29-08-84,atanner@gmail.com,41,"No. 2, Lorong Kulim Ria 16, Taman Kulim Ria",09000,Kulim,Kulim,SMK Padang Serai,09400,Padang Serai,"Jalan Padang Serai, 09080 Padang Serai, Kedah",information@smk_padang_serai.edu.my
860818-88-4135,Brian,Anderson,18-08-86,banderson@gmail.com,42,"No. 59, Lorong Melati Indah 20, Taman Melati Indah",09050,Sungai Kob,Kulim,SMK Taman Mutiara,09700,Karangan,"Taman Mutiara, 09000 Kulim, Kedah",information@smk_taman_mutiara.edu.my
861008-44-3152,David,Nichols,08-10-86,dnichols@gmail.com,43,"No. 130, Lorong Rambai 13, Taman Rambai",09090,Kulim HiTech,Kulim,SMK Junjung,09000,Kulim,"Kampung Junjung, 09000 Kulim, Kedah",information@smk_junjung.edu.my
821118-88-3154,Darren,Aguilar,18-11-82,daguilar@gmail.com,44,"No. 123, Lorong Mutiara 18, Taman Mutiara",09080,Padang Serai,Kulim,SMK Jalan Paya Besar,09600,Lunas,"Jalan Paya Besar, 09000 Kulim, Kedah",information@smk_jalan_paya_besar.edu.my
950301-99-3156,Michelle,Stokes,01-03-95,mstokes@gmail.com,45,"No. 23, Lorong Kulim Utama 9, Taman Kulim Utama",09090,Kulim HiTech,Kulim,SMK Taman Mutiara,09700,Karangan,"Taman Mutiara, 09000 Kulim, Kedah",information@smk_taman_mutiara.edu.my
810914-44-3158,Richard,Rodriguez,14-09-81,rrodriguez@gmail.com,46,"No. 140, Lorong Kulim Jaya 11, Taman Kulim Jaya",09090,Kulim HiTech,Kulim,SMK Lunas,09600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my
850630-88-3160,Christina,Wiggins,30-06-85,cwiggins@gmail.com,47,"No. 147, Lorong Kulim Harmoni 8, Taman Kulim Harmoni",09080,Padang Serai,Kulim,SMK Sultan Badlishah,09000,Kulim,"Jalan Pondok Labu, 09000 Kulim, Kedah",information@smk_sultan_badlishah.edu.my
950505-66-4143,Patricia,Flores,05-05-95,pflores@gmail.com,48,"No. 133, Lorong Kulim Sentosa 12, Taman Kulim Sentosa",09010,Lunas,Kulim,SMK Padang Serai,09400,Padang Serai,"Jalan Padang Serai, 09080 Padang Serai, Kedah",information@smk_padang_serai.edu.my
841216-99-3166,Courtney,Davis,16-12-84,cdavis1@gmail.com,49,"No. 123, Lorong Kulim Bestari 6, Taman Kulim Bestari",09000,Kulim,Kulim,SMK Sungai Karangan,09410,Padang Serai,"Kampung Sungai Karangan, 09050 Sungai Karangan, Kedah",information@smk_sungai_karangan.edu.my
911104-99-4151,Victoria,Rivera,04-11-91,vrivera@gmail.com,50,"No. 59, Lorong Kulim Ceria 16, Taman Kulim Ceria",09000,Kulim,Kulim,SMK Taman Jelutong,09000,Kulim,"Taman Jelutong, 09000 Kulim, Kedah",information@smk_taman_jelutong.edu.my
880622-33-3168,Latasha,Johnson,22-06-88,ljohnson@gmail.com,51,"No. 16, Lorong Teratai 18, Taman Teratai",09000,Kulim,Kulim,SMK Sungai Kob,09700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my
950807-33-4153,Justin,Solomon,07-08-95,jsolomon@gmail.com,52,"No. 128, Lorong Kulim Bahagia 7, Taman Kulim Bahagia",09050,Sungai Kob,Kulim,SMK Jalan Paya Besar,09600,Lunas,"Jalan Paya Besar, 09000 Kulim, Kedah",information@smk_jalan_paya_besar.edu.my
830416-77-4155,Benjamin,Thompson,16-04-83,bthompson@gmail.com,53,"No. 112, Lorong Mawar 20, Taman Mawar",09090,Kulim HiTech,Kulim,SMK Sungai Karangan,09410,Padang Serai,"Kampung Sungai Karangan, 09050 Sungai Karangan, Kedah",information@smk_sungai_karangan.edu.my
850110-44-3176,Erika,Rodriguez,10-01-85,erodriguez@gmail.com,54,"No. 143, Lorong Dahlia 17, Taman Dahlia",09000,Kulim,Kulim,SMK Taman Kenari,09000,Kulim,"Taman Kenari, 09000 Kulim, Kedah",information@smk_taman_kenari.edu.my
940610-66-4163,Alexandria,Brooks,10-06-94,abrooks@gmail.com,55,"No. 1, Lorong Sri Kulim 3, Taman Sri Kulim",09080,Padang Serai,Kulim,SMK Lunas,09600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my
900406-44-4165,Joshua,Smith,06-04-90,jsmith@gmail.com,56,"No. 60, Lorong Bersatu 17, Taman Bersatu",09010,Lunas,Kulim,SMK Keladi,09000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my
961203-44-4169,Matthew,Nguyen,03-12-96,mnguyen@gmail.com,57,"No. 107, Lorong Kulim Bahagia 19, Taman Kulim Bahagia",09080,Padang Serai,Kulim,SMK Keladi,09000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my
940814-33-3186,Michelle,Martin,14-08-94,mmartin@gmail.com,58,"No. 76, Lorong Kulim Makmur 11, Taman Kulim Makmur",09080,Padang Serai,Kulim,SMK Sungai Kob,09700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my
890206-88-4175,Shawn,Avila,06-02-89,savila@gmail.com,59,"No. 101, Lorong Anggerik 7, Taman Anggerik",09010,Lunas,Kulim,SMK Taman Jelutong,09000,Kulim,"Taman Jelutong, 09000 Kulim, Kedah",information@smk_taman_jelutong.edu.my
981020-99-3192,Aaron,Collins,20-10-98,acollins@gmail.com,60,"No. 87, Lorong Kulim Ria 7, Taman Kulim Ria",09080,Padang Serai,Kulim,SMK Sungai Kob,09700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my
880517-44-4177,Janice,Hughes,17-05-88,jhughes@gmail.com,61,"No. 125, Lorong Melati 8, Taman Melati",09080,Padang Serai,Kulim,SMK Padang Serai,09400,Padang Serai,"Jalan Padang Serai, 09080 Padang Serai, Kedah",information@smk_padang_serai.edu.my
810909-44-4179,Teresa,Lewis,09-09-81,tlewis@gmail.com,62,"No. 113, Lorong Desa Aman 5, Taman Desa Aman",09000,Kulim,Kulim,SMK St. Anne's Convent,09000,Kulim,"Jalan Tunku Asaad, 09000 Kulim, Kedah",information@smk_st_annes_convent.edu.my
960107-33-4185,Andrew,Brown,07-01-96,abrown@gmail.com,63,"No. 42, Lorong Kekwa 19, Taman Kekwa",09050,Sungai Kob,Kulim,SMK Jalan Paya Besar,09600,Lunas,"Jalan Paya Besar, 09000 Kulim, Kedah",information@smk_jalan_paya_besar.edu.my
