,nom_kp,firstname,lastname,email,id,alamat_rumah,poskod,bandar,daerah,nama_sekolah,poskod_sekolah,bandar_sekolah,alamat_sekolah,email_sekolah,nama_pengetua,email_pengetua
0,820415-44-3030,Tommy,Murphy,tmurphy@gmail.com,0,"No. 123, Lorong Kemuning 14, Taman Kemuning",9080,Padang Serai,Kulim,SMK Air Merah,9000,Kulim,"Jalan Air Merah, 09000 Kulim, Kedah",information@smk_air_merah.edu.my,Ahmad Zulkifli Bin Hassan,ahmad.zulkifli@sekolah.edu.my
1,900524-88-3034,Alexandra,Lopez,alopez@gmail.com,1,"No. 146, Lorong Kulim Permai 19, Taman Kulim Permai",9000,Kulim,Kulim,SMK Sungai Kob,9700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my,Siti Nor Aisyah Binti Rahman,siti.aisyah@sekolah.edu.my
2,920508-44-4047,Paul,Smith,psmith@gmail.com,2,"No. 74, Lorong Kulim Heights 16, Taman Kulim Heights",9080,Padang Serai,Kulim,SMK Sungai Karangan,9410,Padang Serai,"Kampung Sungai Karangan, 09050 Sungai Karangan, Kedah",information@smk_sungai_karangan.edu.my,Mohd Faizal Bin Abdullah,mohd.faizal@sekolah.edu.my
3,830409-77-3038,Timothy,Holloway,tholloway@gmail.com,3,"No. 21, Lorong Kulim Sentosa 15, Taman Kulim Sentosa",9050,Sungai Kob,Kulim,SMK Padang Serai,9400,Padang Serai,"Jalan Padang Serai, 09080 Padang Serai, Kedah",information@smk_padang_serai.edu.my,Tan Chee Ming,tan.cheeming@sekolah.edu.my
4,960629-66-4051,Edward,Cox,ecox@gmail.com,4,"No. 106, Lorong Kulim Ceria 3, Taman Kulim Ceria",9000,Kulim,Kulim,SMK Air Merah,9000,Kulim,"Jalan Air Merah, 09000 Kulim, Kedah",information@smk_air_merah.edu.my,Ahmad Zulkifli Bin Hassan,ahmad.zulkifli@sekolah.edu.my
5,890709-66-3044,Benjamin,Mason,bmason@gmail.com,5,"No. 141, Lorong Desa Aman 9, Taman Desa Aman",9080,Padang Serai,Kulim,SMK Taman Jelutong,9000,Kulim,"Taman Jelutong, 09000 Kulim, Kedah",information@smk_taman_jelutong.edu.my,Muthusamy A/L Rajan,muthusamy.rajan@sekolah.edu.my
6,920528-66-4063,Ethan,Mitchell,emitchell@gmail.com,6,"No. 5, Lorong Murni 8, Taman Murni",9000,Kulim,Kulim,SMK Air Merah,9000,Kulim,"Jalan Air Merah, 09000 Kulim, Kedah",information@smk_air_merah.edu.my,Ahmad Zulkifli Bin Hassan,ahmad.zulkifli@sekolah.edu.my
7,940129-88-4067,Theodore,James,tjames@gmail.com,7,"No. 97, Lorong Dahlia 10, Taman Dahlia",9050,Sungai Kob,Kulim,SMK Labu Besar,9010,Kulim,"Kampung Labu Besar, 09000 Kulim, Kedah",information@smk_labu_besar.edu.my,Faridah Binti Salleh,faridah.salleh@sekolah.edu.my
8,990414-99-4069,Tracy,Brown,tbrown@gmail.com,8,"No. 82, Lorong Seroja 12, Taman Seroja",9090,Kulim HiTech,Kulim,SMK Keladi,9000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my,Roslan Bin Osman,roslan.osman@sekolah.edu.my
9,830921-66-3064,Carl,Norris,cnorris@gmail.com,9,"No. 30, Lorong Selasih 1, Taman Selasih",9080,Padang Serai,Kulim,SMK Taman Selasih,9000,Kulim,"Taman Selasih, 09000 Kulim, Kedah",information@smk_taman_selasih.edu.my,Norlina Binti Halim,norlina.halim@sekolah.edu.my
